,Y,time,xpos
215,0.0007852171068132298,0.172,
216,0.0006426578760439829,0.1728,
217,0.00032261787604398245,0.1736,
218,2.577876043982678e-06,0.1744,
219,-0.0006549628931867697,0.1752,
220,-0.0009575421239560175,0.176,
221,-0.001277582123956018,0.1768,
222,-0.0011175621239560177,0.1776,
223,-0.001277582123956018,0.1784,
224,-0.001277582123956018,0.1792,
225,-0.0014376021239560174,0.18,
226,-0.0014376021239560174,0.1808,
227,-0.0014376021239560174,0.1816,
228,-0.001277582123956018,0.1824,
229,-0.0009400813547252655,0.1832,
230,-0.0001574421239560176,0.184,
231,0.00032261787604398245,0.1848,
232,0.0006426578760439829,0.1856,
233,0.0008026778760439816,0.1864,
234,0.0009626978760439818,0.1872,
235,0.0011052571068132303,0.188,
236,0.0011227178760439822,0.1888,
237,0.0008026778760439816,0.1896,
238,0.0011052571068132303,0.1904,
239,0.0009626978760439818,0.1912,
240,0.0009626978760439818,0.192,
241,0.00048263787604398275,0.1928,
242,0.0001625978760439821,0.1936,
243,-0.0004774821239560174,0.1944,
244,-0.0007975221239560179,0.1952,
245,-0.0011175621239560177,0.196,
246,-0.00129504289318677,0.1968,
247,-0.0014376021239560174,0.1976,
248,-0.001277582123956018,0.1984,
249,-0.001277582123956018,0.1992,
250,-0.001277582123956018,0.2,
251,-0.001277582123956018,0.2008,
252,-0.0011175621239560177,0.2016,
253,-0.0009575421239560175,0.2024,
254,-0.0006375021239560177,0.2032,
255,2.0038645274734606e-05,0.204,
256,0.0006426578760439829,0.2048,
257,0.0009626978760439818,0.2056,
258,0.0011227178760439822,0.2064,
259,0.0012827378760439825,0.2072,
260,0.0014427578760439826,0.208,
261,0.0014427578760439826,0.2088,
262,0.0014427578760439826,0.2096,
263,0.0011227178760439822,0.2104,
264,0.0009626978760439818,0.2112,
265,0.0012827378760439825,0.212,
266,0.0008026778760439816,0.2128,
267,0.00048263787604398275,0.2136,
268,2.577876043982678e-06,0.2144,
269,-0.0004774821239560174,0.2152,
270,-0.0007975221239560179,0.216,
271,-0.0009575421239560175,0.2168,
272,-0.0007975221239560179,0.2176,
273,-0.001277582123956018,0.2184,
274,-0.0009575421239560175,0.2192,
275,-0.0009575421239560175,0.22,
276,-0.0011175621239560177,0.2208,
277,-0.0011175621239560177,0.2216,
278,-0.0009575421239560175,0.2224,
279,-0.0006375021239560177,0.2232,
280,2.577876043982678e-06,0.224,
281,0.00048263787604398275,0.2248,
282,0.0008201386452747336,0.2256,
283,0.0011227178760439822,0.2264,
284,0.0012827378760439825,0.2272,
285,0.0014427578760439826,0.228,
286,0.0014427578760439826,0.2288,
287,0.0014427578760439826,0.2296,
288,0.0014427578760439826,0.2304,
289,0.0011227178760439822,0.2312,
290,0.0011052571068132303,0.232,
291,0.0009626978760439818,0.2328,
292,0.0007852171068132298,0.2336,
